Academic_year,Semester_id,Week_id,Week_start_dt,Week_end_dt
2019/2020,1,1,2019-09-09,2019-09-15
2019/2020,1,2,2019-09-16,2019-09-22
2019/2020,1,3,2019-09-23,2019-09-29
2019/2020,1,4,2019-09-30,2019-10-06
2019/2020,1,5,2019-10-07,2019-10-13
2019/2020,1,6,2019-10-14,2019-10-20
2019/2020,1,7,2019-10-21,2019-10-27
2019/2020,1,8,2019-10-28,2019-11-03
2019/2020,1,9,2019-11-04,2019-11-10
2019/2020,1,10,2019-11-11,2019-11-17
2019/2020,1,11,2019-11-18,2019-11-24
2019/2020,1,12,2019-11-25,2019-12-01
2019/2020,1,13,2019-12-02,2019-12-08
2019/2020,2,1,2020-01-27,2020-02-02
2019/2020,2,2,2020-02-03,2020-02-09
2019/2020,2,3,2020-02-10,2020-02-16
2019/2020,2,4,2020-02-17,2020-02-23
2019/2020,2,5,2020-02-24,2020-03-01
2019/2020,2,6,2020-03-02,2020-03-08
2019/2020,2,7,2020-03-09,2020-03-15
2019/2020,2,8,2020-03-16,2020-03-22
2019/2020,2,9,2020-03-23,2020-03-29
2019/2020,2,10,2020-03-30,2020-04-05
2019/2020,2,11,2020-04-06,2020-04-12
2019/2020,2,12,2020-04-13,2020-04-19
2019/2020,2,13,2020-04-20,2020-04-26
